route_id,route_name,original_name,mountain,province,distance_km,elevation_gain_m,naismith_duration_hour,average_grade_pct,min_elevation_m,max_elevation_m,difficulty,total_trackpoints,manual_description,narrative_text,embedding_model,embedding_dimension
1,Argopuro - Bremi Baderan,1766063593 6943Fde95C187 Argopuro - Bremi Baderan,Argopuro,Jawa Timur,53.83,3243,16.17,6.02,773,3058,sedang,492,Trek panjang multi-hari dengan savana luas dan hutan lebat. Jalur menantang untuk pendaki berpengalaman.,Trek panjang multi-hari dengan savana luas dan hutan lebat. Jalur menantang untuk pendaki berpengalaman. Jalur pendakian dengan jarak panjang sekitar 53.83 kilometer. Estimasi waktu tempuh lama selama 16.17 jam menggunakan rumus Naismith. Karakteristik jalur menantang dengan kemiringan sedang dengan grade rata-rata 6.02%. Total kenaikan elevasi 3243 meter dengan ketinggian dari 773m hingga 3058m. Tingkat kesulitan: sedang. Cocok untuk pendaki dengan pengalaman menengah.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
2,Agung - Besakih,1766063653 6943Fe257Db87 Agung - Besakih,Agung,Bali,76.05,577,16.17,0.76,9,3033,mudah,5282,Gunung suci Bali dengan pemandangan panorama pulau. Beberapa jalur dengan tingkat kesulitan berbeda.,Gunung suci Bali dengan pemandangan panorama pulau. Beberapa jalur dengan tingkat kesulitan berbeda. Jalur pendakian dengan jarak panjang sekitar 76.05 kilometer. Estimasi waktu tempuh lama selama 16.17 jam menggunakan rumus Naismith. Karakteristik jalur landai dan ramah pemula dengan grade rata-rata 0.76%. Total kenaikan elevasi 577 meter dengan ketinggian dari 9m hingga 3033m. Tingkat kesulitan: mudah. Cocok untuk pendaki pemula.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
3,Agung - Pura Pasar Agung,1766063671 6943Fe37D1Cb6 Agung - Pura Pasar Agung,Agung,Bali,8.91,0,1.78,0.0,0,0,mudah,9842,Gunung suci Bali dengan pemandangan panorama pulau. Beberapa jalur dengan tingkat kesulitan berbeda.,Gunung suci Bali dengan pemandangan panorama pulau. Beberapa jalur dengan tingkat kesulitan berbeda. Jalur pendakian dengan jarak panjang sekitar 8.91 kilometer. Estimasi waktu tempuh singkat selama 1.78 jam menggunakan rumus Naismith. Karakteristik jalur landai dan ramah pemula dengan grade rata-rata 0.0%. Total kenaikan elevasi 0 meter dengan ketinggian dari 0m hingga 0m. Tingkat kesulitan: mudah. Cocok untuk pendaki pemula.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
4,Anak Krakatau,1766063689 6943Fe49E4Fab Anak Krakatau,Anak Krakatau,Lampung,3.85,469,1.55,12.18,4,324,sulit,550,Gunung vulkanik dengan trekking singkat menuju puncak. Pemandangan laut dan pulau-pulau sekitar.,Gunung vulkanik dengan trekking singkat menuju puncak. Pemandangan laut dan pulau-pulau sekitar. Jalur pendakian dengan jarak sedang sekitar 3.85 kilometer. Estimasi waktu tempuh singkat selama 1.55 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 12.18%. Total kenaikan elevasi 469 meter dengan ketinggian dari 4m hingga 324m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
5,Argopuro - Bremi Baderan,1766063707 6943Fe5B08731 Argopuro - Bremi Baderan,Argopuro,Jawa Timur,53.83,3243,16.17,6.02,773,3058,sedang,492,Trek panjang multi-hari dengan savana luas dan hutan lebat. Jalur menantang untuk pendaki berpengalaman.,Trek panjang multi-hari dengan savana luas dan hutan lebat. Jalur menantang untuk pendaki berpengalaman. Jalur pendakian dengan jarak panjang sekitar 53.83 kilometer. Estimasi waktu tempuh lama selama 16.17 jam menggunakan rumus Naismith. Karakteristik jalur menantang dengan kemiringan sedang dengan grade rata-rata 6.02%. Total kenaikan elevasi 3243 meter dengan ketinggian dari 773m hingga 3058m. Tingkat kesulitan: sedang. Cocok untuk pendaki dengan pengalaman menengah.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
6,Arjuno - Lawang,1766063724 6943Fe6C08720 Arjuno - Lawang,Arjuno,Jawa Timur,10.56,2536,6.34,24.03,852,3340,sangat sulit,496,Jalur pendakian dengan hutan pinus dan padang rumput. Pemandangan indah Gunung Welirang.,Jalur pendakian dengan hutan pinus dan padang rumput. Pemandangan indah Gunung Welirang. Jalur pendakian dengan jarak panjang sekitar 10.56 kilometer. Estimasi waktu tempuh lama selama 6.34 jam menggunakan rumus Naismith. Karakteristik jalur sangat curam dan berbahaya dengan grade rata-rata 24.03%. Total kenaikan elevasi 2536 meter dengan ketinggian dari 852m hingga 3340m. Tingkat kesulitan: sangat sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
7,Arjuno - Tambak Watu,1766063741 6943Fe7Db54Ba Arjuno - Tambak Watu,Arjuno,Jawa Timur,12.14,2644,6.84,21.79,903,3342,sangat sulit,1960,Jalur pendakian dengan hutan pinus dan padang rumput. Pemandangan indah Gunung Welirang.,Jalur pendakian dengan hutan pinus dan padang rumput. Pemandangan indah Gunung Welirang. Jalur pendakian dengan jarak panjang sekitar 12.14 kilometer. Estimasi waktu tempuh lama selama 6.84 jam menggunakan rumus Naismith. Karakteristik jalur sangat curam dan berbahaya dengan grade rata-rata 21.79%. Total kenaikan elevasi 2644 meter dengan ketinggian dari 903m hingga 3342m. Tingkat kesulitan: sangat sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
8,Butak - Sirah Kencong,1766063759 6943Fe8F3Aa31 Butak - Sirah Kencong,Butak,Jawa Timur,8.99,4485,9.27,49.92,1081,2871,sangat sulit,600,Gunung dengan pemandangan sabana dan sunrise. Trek sedang cocok untuk latihan pendakian.,Gunung dengan pemandangan sabana dan sunrise. Trek sedang cocok untuk latihan pendakian. Jalur pendakian dengan jarak panjang sekitar 8.99 kilometer. Estimasi waktu tempuh lama selama 9.27 jam menggunakan rumus Naismith. Karakteristik jalur sangat curam dan berbahaya dengan grade rata-rata 49.92%. Total kenaikan elevasi 4485 meter dengan ketinggian dari 1081m hingga 2871m. Tingkat kesulitan: sangat sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
9,Butak - Tuyomerto,1766063775 6943Fe9Fd5112 Butak - Tuyomerto,Butak,Jawa Timur,26.22,1899,8.41,7.25,939,2732,sedang,468,Gunung dengan pemandangan sabana dan sunrise. Trek sedang cocok untuk latihan pendakian.,Gunung dengan pemandangan sabana dan sunrise. Trek sedang cocok untuk latihan pendakian. Jalur pendakian dengan jarak panjang sekitar 26.22 kilometer. Estimasi waktu tempuh lama selama 8.41 jam menggunakan rumus Naismith. Karakteristik jalur menantang dengan kemiringan sedang dengan grade rata-rata 7.25%. Total kenaikan elevasi 1899 meter dengan ketinggian dari 939m hingga 2732m. Tingkat kesulitan: sedang. Cocok untuk pendaki dengan pengalaman menengah.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
10,Cikuray - Pemancar,1766063794 6943Feb240903 Cikuray - Pemancar,Cikuray,,45.59,4810,17.13,10.55,134,2843,sulit,6766,,Jalur pendakian dengan jarak panjang sekitar 45.59 kilometer. Estimasi waktu tempuh lama selama 17.13 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 10.55%. Total kenaikan elevasi 4810 meter dengan ketinggian dari 134m hingga 2843m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
11,Ciremai - Apuy Linggarjati,1766063814 6943Fec6D53Cf Ciremai - Apuy Linggarjati,Ciremai,Jawa Barat,21.89,6459,15.14,29.52,4218,10139,sangat sulit,1048,Gunung tertinggi di Jawa Barat dengan pemandangan dari dua sisi. Beberapa jalur dengan karakteristik berbeda.,Gunung tertinggi di Jawa Barat dengan pemandangan dari dua sisi. Beberapa jalur dengan karakteristik berbeda. Jalur pendakian dengan jarak panjang sekitar 21.89 kilometer. Estimasi waktu tempuh lama selama 15.14 jam menggunakan rumus Naismith. Karakteristik jalur sangat curam dan berbahaya dengan grade rata-rata 29.52%. Total kenaikan elevasi 6459 meter dengan ketinggian dari 4218m hingga 10139m. Tingkat kesulitan: sangat sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
12,Ciremai - Cibuluh - Linggarjati,1766063835 6943Fedbd7563 Ciremai - Cibuluh - Linggarjati,Ciremai,Jawa Barat,43.77,12919,30.29,29.52,4218,10139,sangat sulit,2096,Gunung tertinggi di Jawa Barat dengan pemandangan dari dua sisi. Beberapa jalur dengan karakteristik berbeda.,Gunung tertinggi di Jawa Barat dengan pemandangan dari dua sisi. Beberapa jalur dengan karakteristik berbeda. Jalur pendakian dengan jarak panjang sekitar 43.77 kilometer. Estimasi waktu tempuh lama selama 30.29 jam menggunakan rumus Naismith. Karakteristik jalur sangat curam dan berbahaya dengan grade rata-rata 29.52%. Total kenaikan elevasi 12919 meter dengan ketinggian dari 4218m hingga 10139m. Tingkat kesulitan: sangat sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
13,Ciremai - Linggarjati Palutungan,1766063857 6943Fef174A80 Ciremai - Linggarjati Palutungan,Ciremai,Jawa Barat,19.7,2567,8.22,13.03,656,3077,sulit,859,Gunung tertinggi di Jawa Barat dengan pemandangan dari dua sisi. Beberapa jalur dengan karakteristik berbeda.,Gunung tertinggi di Jawa Barat dengan pemandangan dari dua sisi. Beberapa jalur dengan karakteristik berbeda. Jalur pendakian dengan jarak panjang sekitar 19.7 kilometer. Estimasi waktu tempuh lama selama 8.22 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 13.03%. Total kenaikan elevasi 2567 meter dengan ketinggian dari 656m hingga 3077m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
14,Gede-Pangrango Semua Jalur,1766063877 6943Ff0589Fa7 Gede-Pangrango Semua Jalur,Gede-Pangrango,Jawa Barat,62.1,8120,25.95,13.08,752,3021,sulit,3752,Gunung dengan air terjun dan pemandangan kawah. Trek bervariasi dari hutan hujan hingga padang edelweis.,Gunung dengan air terjun dan pemandangan kawah. Trek bervariasi dari hutan hujan hingga padang edelweis. Jalur pendakian dengan jarak panjang sekitar 62.1 kilometer. Estimasi waktu tempuh lama selama 25.95 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 13.08%. Total kenaikan elevasi 8120 meter dengan ketinggian dari 752m hingga 3021m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
15,Guntur Cipanas,1766063897 6943Ff19A5216 Guntur Cipanas,Guntur,,29.25,2952,10.77,10.09,29,2066,sulit,5136,Gunung aktif dengan kawah sulfur. Jalur pendakian dengan vegetasi beragam.,Gunung aktif dengan kawah sulfur. Jalur pendakian dengan vegetasi beragam. Jalur pendakian dengan jarak panjang sekitar 29.25 kilometer. Estimasi waktu tempuh lama selama 10.77 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 10.09%. Total kenaikan elevasi 2952 meter dengan ketinggian dari 29m hingga 2066m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
16,Guntur Masigit - Cibeureum,1766063917 6943Ff2D9Ed23 Guntur Masigit - Cibeureum,Guntur,,5.46,799,2.42,14.66,1608,2271,sulit,1844,Gunung aktif dengan kawah sulfur. Jalur pendakian dengan vegetasi beragam.,Gunung aktif dengan kawah sulfur. Jalur pendakian dengan vegetasi beragam. Jalur pendakian dengan jarak sedang sekitar 5.46 kilometer. Estimasi waktu tempuh sedang selama 2.42 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 14.66%. Total kenaikan elevasi 799 meter dengan ketinggian dari 1608m hingga 2271m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
17,Guntur Masigit - Tanjung Karya,1766063934 6943Ff3Eb0F7D Guntur Masigit - Tanjung Karya,Guntur,,9.93,1509,4.5,15.2,1053,2258,sangat sulit,1543,Gunung aktif dengan kawah sulfur. Jalur pendakian dengan vegetasi beragam.,Gunung aktif dengan kawah sulfur. Jalur pendakian dengan vegetasi beragam. Jalur pendakian dengan jarak panjang sekitar 9.93 kilometer. Estimasi waktu tempuh lama selama 4.5 jam menggunakan rumus Naismith. Karakteristik jalur sangat curam dan berbahaya dengan grade rata-rata 15.2%. Total kenaikan elevasi 1509 meter dengan ketinggian dari 1053m hingga 2258m. Tingkat kesulitan: sangat sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
18,Guntur Masigit - Warung Tanjung,1766063952 6943Ff5095C62 Guntur Masigit - Warung Tanjung,Guntur,,9.47,1620,4.6,17.11,750,2266,sangat sulit,200,Gunung aktif dengan kawah sulfur. Jalur pendakian dengan vegetasi beragam.,Gunung aktif dengan kawah sulfur. Jalur pendakian dengan vegetasi beragam. Jalur pendakian dengan jarak panjang sekitar 9.47 kilometer. Estimasi waktu tempuh lama selama 4.6 jam menggunakan rumus Naismith. Karakteristik jalur sangat curam dan berbahaya dengan grade rata-rata 17.11%. Total kenaikan elevasi 1620 meter dengan ketinggian dari 750m hingga 2266m. Tingkat kesulitan: sangat sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
19,Ijen - Sempol,1766063970 6943Ff621Eaf0 Ijen - Sempol,Ijen,Jawa Timur,114.51,3813,29.26,3.33,114,1910,mudah,6236,Kawah dengan api biru dan danau asam. Jalur relatif landai dengan pemandangan sunrise dari tepi kawah.,Kawah dengan api biru dan danau asam. Jalur relatif landai dengan pemandangan sunrise dari tepi kawah. Jalur pendakian dengan jarak panjang sekitar 114.51 kilometer. Estimasi waktu tempuh lama selama 29.26 jam menggunakan rumus Naismith. Karakteristik jalur landai dan ramah pemula dengan grade rata-rata 3.33%. Total kenaikan elevasi 3813 meter dengan ketinggian dari 114m hingga 1910m. Tingkat kesulitan: mudah. Cocok untuk pendaki pemula.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
