route_id,route_name,original_name,mountain,province,distance_km,elevation_gain_m,naismith_duration_hour,average_grade_pct,min_elevation_m,max_elevation_m,difficulty,total_trackpoints,manual_description,narrative_text,embedding_model,embedding_dimension
20,Mt. Argopuro Baderan To Bremi,1766104952 69449F783982A Mt. Argopuro Baderan To Bremi,Argopuro,Jawa Timur,45.1,3566,14.96,7.91,752,3016,sedang,11187,Trek panjang multi-hari dengan savana luas dan hutan lebat. Jalur menantang untuk pendaki berpengalaman.,Trek panjang multi-hari dengan savana luas dan hutan lebat. Jalur menantang untuk pendaki berpengalaman. Jalur pendakian dengan jarak panjang sekitar 45.1 kilometer. Estimasi waktu tempuh lama selama 14.96 jam menggunakan rumus Naismith. Karakteristik jalur menantang dengan kemiringan sedang dengan grade rata-rata 7.91%. Total kenaikan elevasi 3566 meter dengan ketinggian dari 752m hingga 3016m. Tingkat kesulitan: sedang. Cocok untuk pendaki dengan pengalaman menengah.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
21,Mt. Arjuno Via Tretes,1766105124 6944A0245B0D2 Mt. Arjuno Via Tretes,Arjuno,Jawa Timur,25.48,2355,9.02,9.25,800,3132,sedang,31170,Jalur pendakian dengan hutan pinus dan padang rumput. Pemandangan indah Gunung Welirang.,Jalur pendakian dengan hutan pinus dan padang rumput. Pemandangan indah Gunung Welirang. Jalur pendakian dengan jarak panjang sekitar 25.48 kilometer. Estimasi waktu tempuh lama selama 9.02 jam menggunakan rumus Naismith. Karakteristik jalur menantang dengan kemiringan sedang dengan grade rata-rata 9.25%. Total kenaikan elevasi 2355 meter dengan ketinggian dari 800m hingga 3132m. Tingkat kesulitan: sedang. Cocok untuk pendaki dengan pengalaman menengah.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
22,Mt. Ciremai Via Apuy,1766105165 6944A04D792Da Mt. Ciremai Via Apuy,Ciremai,Jawa Barat,12.2,1525,4.98,12.5,1483,3010,sulit,9887,Gunung tertinggi di Jawa Barat dengan pemandangan dari dua sisi. Beberapa jalur dengan karakteristik berbeda.,Gunung tertinggi di Jawa Barat dengan pemandangan dari dua sisi. Beberapa jalur dengan karakteristik berbeda. Jalur pendakian dengan jarak panjang sekitar 12.2 kilometer. Estimasi waktu tempuh lama selama 4.98 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 12.5%. Total kenaikan elevasi 1525 meter dengan ketinggian dari 1483m hingga 3010m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
23,Mt. Ciremai Via Linggasana,1766105205 6944A075289E0 Mt. Ciremai Via Linggasana,Ciremai,Jawa Barat,17.83,2348,7.48,13.17,671,3002,sulit,12942,Gunung tertinggi di Jawa Barat dengan pemandangan dari dua sisi. Beberapa jalur dengan karakteristik berbeda.,Gunung tertinggi di Jawa Barat dengan pemandangan dari dua sisi. Beberapa jalur dengan karakteristik berbeda. Jalur pendakian dengan jarak panjang sekitar 17.83 kilometer. Estimasi waktu tempuh lama selama 7.48 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 13.17%. Total kenaikan elevasi 2348 meter dengan ketinggian dari 671m hingga 3002m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
24,Mt. Ciremai Via Palutungan,1766105243 6944A09B96Bec Mt. Ciremai Via Palutungan,Ciremai,Jawa Barat,20.16,2039,7.43,10.12,1070,3055,sulit,18829,Gunung tertinggi di Jawa Barat dengan pemandangan dari dua sisi. Beberapa jalur dengan karakteristik berbeda.,Gunung tertinggi di Jawa Barat dengan pemandangan dari dua sisi. Beberapa jalur dengan karakteristik berbeda. Jalur pendakian dengan jarak panjang sekitar 20.16 kilometer. Estimasi waktu tempuh lama selama 7.43 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 10.12%. Total kenaikan elevasi 2039 meter dengan ketinggian dari 1070m hingga 3055m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
25,Mt. Ciremai Via Sadarehe,1766105293 6944A0Cd35Daf Mt. Ciremai Via Sadarehe,Ciremai,Jawa Barat,13.21,1758,5.57,13.31,1314,3032,sulit,12879,Gunung tertinggi di Jawa Barat dengan pemandangan dari dua sisi. Beberapa jalur dengan karakteristik berbeda.,Gunung tertinggi di Jawa Barat dengan pemandangan dari dua sisi. Beberapa jalur dengan karakteristik berbeda. Jalur pendakian dengan jarak panjang sekitar 13.21 kilometer. Estimasi waktu tempuh lama selama 5.57 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 13.31%. Total kenaikan elevasi 1758 meter dengan ketinggian dari 1314m hingga 3032m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
26,Mt. Lawu Via Cemoro Sewu,1766105444 6944A1645D72D Mt. Lawu Via Cemoro Sewu,Lawu,Jawa Tengah/Jawa Timur,26.88,2785,10.02,10.36,1894,3205,sulit,23094,Jalur spiritual dengan petilasan dan pemandangan sunrise sunset spektakuler. Trek panjang dengan tangga batu.,Jalur spiritual dengan petilasan dan pemandangan sunrise sunset spektakuler. Trek panjang dengan tangga batu. Jalur pendakian dengan jarak panjang sekitar 26.88 kilometer. Estimasi waktu tempuh lama selama 10.02 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 10.36%. Total kenaikan elevasi 2785 meter dengan ketinggian dari 1894m hingga 3205m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
27,Mt. Lawu Via Cetho,1766105482 6944A18A1B939 Mt. Lawu Via Cetho,Lawu,Jawa Tengah/Jawa Timur,18.52,1871,6.82,10.11,1462,3170,sulit,7174,Jalur spiritual dengan petilasan dan pemandangan sunrise sunset spektakuler. Trek panjang dengan tangga batu.,Jalur spiritual dengan petilasan dan pemandangan sunrise sunset spektakuler. Trek panjang dengan tangga batu. Jalur pendakian dengan jarak panjang sekitar 18.52 kilometer. Estimasi waktu tempuh lama selama 6.82 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 10.11%. Total kenaikan elevasi 1871 meter dengan ketinggian dari 1462m hingga 3170m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
28,Mt. Lawu Via Tambak,1766105522 6944A1B26F482 Mt. Lawu Via Tambak,Lawu,Jawa Tengah/Jawa Timur,17.42,2117,7.01,12.16,1166,3240,sulit,1995,Jalur spiritual dengan petilasan dan pemandangan sunrise sunset spektakuler. Trek panjang dengan tangga batu.,Jalur spiritual dengan petilasan dan pemandangan sunrise sunset spektakuler. Trek panjang dengan tangga batu. Jalur pendakian dengan jarak panjang sekitar 17.42 kilometer. Estimasi waktu tempuh lama selama 7.01 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 12.16%. Total kenaikan elevasi 2117 meter dengan ketinggian dari 1166m hingga 3240m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
29,Mt. Merbabu Via Selo,1766105563 6944A1Db51F06 Mt. Merbabu Via Selo,Merbabu,Jawa Tengah,11.1,1424,4.59,12.84,1811,3128,sulit,1938,Jalur dengan sabana luas dan pemandangan sunrise spektakuler. Padang rumput hijau sepanjang perjalanan dengan view Gunung Merapi.,Jalur dengan sabana luas dan pemandangan sunrise spektakuler. Padang rumput hijau sepanjang perjalanan dengan view Gunung Merapi. Jalur pendakian dengan jarak panjang sekitar 11.1 kilometer. Estimasi waktu tempuh lama selama 4.59 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 12.84%. Total kenaikan elevasi 1424 meter dengan ketinggian dari 1811m hingga 3128m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
30,Mt. Merbabu Via Suwanting,1766105603 6944A20366225 Mt. Merbabu Via Suwanting,Merbabu,Jawa Tengah,12.06,1778,5.38,14.75,1358,3124,sulit,590,Jalur dengan sabana luas dan pemandangan sunrise spektakuler. Padang rumput hijau sepanjang perjalanan dengan view Gunung Merapi.,Jalur dengan sabana luas dan pemandangan sunrise spektakuler. Padang rumput hijau sepanjang perjalanan dengan view Gunung Merapi. Jalur pendakian dengan jarak panjang sekitar 12.06 kilometer. Estimasi waktu tempuh lama selama 5.38 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 14.75%. Total kenaikan elevasi 1778 meter dengan ketinggian dari 1358m hingga 3124m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
31,Mt. Merbabu Via Thekelan,1766105641 6944A229417Ab Mt. Merbabu Via Thekelan,Merbabu,Jawa Tengah,13.77,1540,5.32,11.19,1626,3120,sulit,2224,Jalur dengan sabana luas dan pemandangan sunrise spektakuler. Padang rumput hijau sepanjang perjalanan dengan view Gunung Merapi.,Jalur dengan sabana luas dan pemandangan sunrise spektakuler. Padang rumput hijau sepanjang perjalanan dengan view Gunung Merapi. Jalur pendakian dengan jarak panjang sekitar 13.77 kilometer. Estimasi waktu tempuh lama selama 5.32 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 11.19%. Total kenaikan elevasi 1540 meter dengan ketinggian dari 1626m hingga 3120m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
32,Mt. Semeru,1766105678 6944A24Eb6C47 Mt. Semeru,Semeru,Jawa Timur,39.8,2356,11.89,5.92,2114,3623,sedang,8784,Gunung tertinggi di Jawa dengan pemandangan danau Ranu Kumbolo. Trek panjang dan menantang menuju puncak Mahameru.,Gunung tertinggi di Jawa dengan pemandangan danau Ranu Kumbolo. Trek panjang dan menantang menuju puncak Mahameru. Jalur pendakian dengan jarak panjang sekitar 39.8 kilometer. Estimasi waktu tempuh lama selama 11.89 jam menggunakan rumus Naismith. Karakteristik jalur menantang dengan kemiringan sedang dengan grade rata-rata 5.92%. Total kenaikan elevasi 2356 meter dengan ketinggian dari 2114m hingga 3623m. Tingkat kesulitan: sedang. Cocok untuk pendaki dengan pengalaman menengah.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
33,Mt. Sindoro Via Kledung,1766105716 6944A27485368 Mt. Sindoro Via Kledung,Sindoro,,28.22,3106,10.82,11.01,1375,3110,sulit,8991,Gunung dengan hutan pinus lebat dan pemandangan sabana di puncak. Trek menantang dengan kawah sulfur.,Gunung dengan hutan pinus lebat dan pemandangan sabana di puncak. Trek menantang dengan kawah sulfur. Jalur pendakian dengan jarak panjang sekitar 28.22 kilometer. Estimasi waktu tempuh lama selama 10.82 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 11.01%. Total kenaikan elevasi 3106 meter dengan ketinggian dari 1375m hingga 3110m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
34,Mt. Slamet Via Bambangan,1766105753 6944A29969Cdc Mt. Slamet Via Bambangan,Slamet,Jawa Tengah,13.68,1932,5.96,14.13,1514,3444,sulit,13926,Gunung tertinggi di Jawa Tengah dengan jalur curam. Terdapat sumber air di beberapa pos.,Gunung tertinggi di Jawa Tengah dengan jalur curam. Terdapat sumber air di beberapa pos. Jalur pendakian dengan jarak panjang sekitar 13.68 kilometer. Estimasi waktu tempuh lama selama 5.96 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 14.13%. Total kenaikan elevasi 1932 meter dengan ketinggian dari 1514m hingga 3444m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
35,Mt. Slamet Via Dipajaya,1766105785 6944A2B98F531 Mt. Slamet Via Dipajaya,Slamet,Jawa Tengah,6.61,1870,4.44,28.31,1579,3420,sangat sulit,1667,Gunung tertinggi di Jawa Tengah dengan jalur curam. Terdapat sumber air di beberapa pos.,Gunung tertinggi di Jawa Tengah dengan jalur curam. Terdapat sumber air di beberapa pos. Jalur pendakian dengan jarak sedang sekitar 6.61 kilometer. Estimasi waktu tempuh lama selama 4.44 jam menggunakan rumus Naismith. Karakteristik jalur sangat curam dan berbahaya dengan grade rata-rata 28.31%. Total kenaikan elevasi 1870 meter dengan ketinggian dari 1579m hingga 3420m. Tingkat kesulitan: sangat sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
36,Mt. Slamet Via Guci,1766105817 6944A2D956Ad8 Mt. Slamet Via Guci,Slamet,Jawa Tengah,19.49,2126,7.44,10.91,1145,3152,sulit,14987,Gunung tertinggi di Jawa Tengah dengan jalur curam. Terdapat sumber air di beberapa pos.,Gunung tertinggi di Jawa Tengah dengan jalur curam. Terdapat sumber air di beberapa pos. Jalur pendakian dengan jarak panjang sekitar 19.49 kilometer. Estimasi waktu tempuh lama selama 7.44 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 10.91%. Total kenaikan elevasi 2126 meter dengan ketinggian dari 1145m hingga 3152m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
37,Mt. Sumbing Via Batursari,1766105844 6944A2F449Ca4 Mt. Sumbing Via Batursari,Sumbing,Jawa Tengah,17.95,2403,7.6,13.39,1384,3311,sulit,16297,Jalur pendakian menantang dengan sabana dan pemandangan matahari terbit. Vegetasi beragam dari hutan hingga padang rumput.,Jalur pendakian menantang dengan sabana dan pemandangan matahari terbit. Vegetasi beragam dari hutan hingga padang rumput. Jalur pendakian dengan jarak panjang sekitar 17.95 kilometer. Estimasi waktu tempuh lama selama 7.6 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 13.39%. Total kenaikan elevasi 2403 meter dengan ketinggian dari 1384m hingga 3311m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
38,Mt. Sumbing Via Bowongso,1766105875 6944A31333B3B Mt. Sumbing Via Bowongso,Sumbing,Jawa Tengah,17.55,2079,6.98,11.85,1416,3294,sulit,4859,Jalur pendakian menantang dengan sabana dan pemandangan matahari terbit. Vegetasi beragam dari hutan hingga padang rumput.,Jalur pendakian menantang dengan sabana dan pemandangan matahari terbit. Vegetasi beragam dari hutan hingga padang rumput. Jalur pendakian dengan jarak panjang sekitar 17.55 kilometer. Estimasi waktu tempuh lama selama 6.98 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 11.85%. Total kenaikan elevasi 2079 meter dengan ketinggian dari 1416m hingga 3294m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
39,Mt. Sumbing Via Butuh Kaliangkrik,1766105906 6944A332509E1 Mt. Sumbing Via Butuh Kaliangkrik,Sumbing,Jawa Tengah,13.97,2019,6.16,14.46,1726,3340,sulit,10098,Jalur pendakian menantang dengan sabana dan pemandangan matahari terbit. Vegetasi beragam dari hutan hingga padang rumput.,Jalur pendakian menantang dengan sabana dan pemandangan matahari terbit. Vegetasi beragam dari hutan hingga padang rumput. Jalur pendakian dengan jarak panjang sekitar 13.97 kilometer. Estimasi waktu tempuh lama selama 6.16 jam menggunakan rumus Naismith. Karakteristik jalur curam dan membutuhkan stamina yang baik dengan grade rata-rata 14.46%. Total kenaikan elevasi 2019 meter dengan ketinggian dari 1726m hingga 3340m. Tingkat kesulitan: sulit. Cocok untuk pendaki berpengalaman.,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384
